[2025-04-16 01:44:10] 60m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-86j5s          Stopping container nginx
[2025-04-16 01:44:30] 5m8s        Normal    Pulling                        pod/nginx-basic-76dd66bf4f-txg25          Pulling image "nginx:latest"
[2025-04-16 01:44:30] 5m7s        Normal    Started                        pod/nginx-basic-76dd66bf4f-txg25          Started container nginx
[2025-04-16 01:44:30] 5m7s        Normal    Pulled                         pod/nginx-basic-76dd66bf4f-txg25          Successfully pulled image "nginx:latest" in 686ms (686ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:30] 5m7s        Normal    Created                        pod/nginx-basic-76dd66bf4f-txg25          Created container nginx
[2025-04-16 01:44:30] 5m6s        Normal    Started                        pod/nginx-basic-76dd66bf4f-26n2d          Started container nginx
[2025-04-16 01:44:30] 5m6s        Normal    Pulled                         pod/nginx-basic-76dd66bf4f-26n2d          Successfully pulled image "nginx:latest" in 674ms (1.354s including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:30] 5m6s        Normal    Created                        pod/nginx-basic-76dd66bf4f-26n2d          Created container nginx
[2025-04-16 01:44:30] 5m5s        Normal    Started                        pod/nginx-basic-76dd66bf4f-t45tz          Started container nginx
[2025-04-16 01:44:30] 5m5s        Normal    Pulled                         pod/nginx-basic-76dd66bf4f-t45tz          Successfully pulled image "nginx:latest" in 669ms (2.024s including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:30] 5m5s        Normal    Created                        pod/nginx-basic-76dd66bf4f-t45tz          Created container nginx
[2025-04-16 01:44:30] 4m53s       Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-jkjk9
[2025-04-16 01:44:30] 4m53s       Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-5zjv7
[2025-04-16 01:44:30] 4m52s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-jkjk9          Successfully assigned default/nginx-basic-76dd66bf4f-jkjk9 to worker7
[2025-04-16 01:44:30] 4m52s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-zxfhz          Successfully assigned default/nginx-basic-76dd66bf4f-zxfhz to worker7
[2025-04-16 01:44:30] 4m52s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-5zjv7          Successfully assigned default/nginx-basic-76dd66bf4f-5zjv7 to worker7
[2025-04-16 01:44:30] 4m53s       Normal    SuccessfulRescale              horizontalpodautoscaler/nginx-basic-hpa   New size: 8; reason: cpu resource utilization (percentage of request) above target
[2025-04-16 01:44:30] 4m53s       Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-qzkrg
[2025-04-16 01:44:30] 4m53s       Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 8 from 4
[2025-04-16 01:44:30] 4m53s       Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-zxfhz
[2025-04-16 01:44:30] 4m52s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-qzkrg          Successfully assigned default/nginx-basic-76dd66bf4f-qzkrg to worker7
[2025-04-16 01:44:30] 4m52s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-jkjk9          Pulling image "nginx:latest"
[2025-04-16 01:44:30] 4m52s       Normal    Started                        pod/nginx-basic-76dd66bf4f-qzkrg          Started container nginx
[2025-04-16 01:44:30] 4m52s       Normal    Created                        pod/nginx-basic-76dd66bf4f-qzkrg          Created container nginx
[2025-04-16 01:44:30] 4m52s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-qzkrg          Successfully pulled image "nginx:latest" in 673ms (673ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:30] 4m52s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-qzkrg          Pulling image "nginx:latest"
[2025-04-16 01:44:30] 4m52s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-zxfhz          Pulling image "nginx:latest"
[2025-04-16 01:44:30] 4m52s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-5zjv7          Pulling image "nginx:latest"
[2025-04-16 01:44:30] 4m51s       Normal    Created                        pod/nginx-basic-76dd66bf4f-zxfhz          Created container nginx
[2025-04-16 01:44:30] 4m51s       Normal    Started                        pod/nginx-basic-76dd66bf4f-zxfhz          Started container nginx
[2025-04-16 01:44:30] 4m51s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-zxfhz          Successfully pulled image "nginx:latest" in 682ms (1.356s including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:30] 4m50s       Normal    Created                        pod/nginx-basic-76dd66bf4f-5zjv7          Created container nginx
[2025-04-16 01:44:30] 4m50s       Normal    Started                        pod/nginx-basic-76dd66bf4f-jkjk9          Started container nginx
[2025-04-16 01:44:30] 4m50s       Normal    Created                        pod/nginx-basic-76dd66bf4f-jkjk9          Created container nginx
[2025-04-16 01:44:30] 4m50s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-jkjk9          Successfully pulled image "nginx:latest" in 666ms (2.022s including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:30] 4m50s       Normal    Started                        pod/nginx-basic-76dd66bf4f-5zjv7          Started container nginx
[2025-04-16 01:44:30] 4m50s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-5zjv7          Successfully pulled image "nginx:latest" in 695ms (2.716s including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:30] 4m38s       Normal    SuccessfulRescale              horizontalpodautoscaler/nginx-basic-hpa   New size: 16; reason: cpu resource utilization (percentage of request) above target
[2025-04-16 01:44:30] 4m37s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-n5mv9          Successfully assigned default/nginx-basic-76dd66bf4f-n5mv9 to worker7
[2025-04-16 01:44:30] 4m37s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-b5hc5          Successfully assigned default/nginx-basic-76dd66bf4f-b5hc5 to worker7
[2025-04-16 01:44:30] 4m37s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-ph6q5          Successfully assigned default/nginx-basic-76dd66bf4f-ph6q5 to worker7
[2025-04-16 01:44:30] 4m37s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-vmswv          Successfully assigned default/nginx-basic-76dd66bf4f-vmswv to worker7
[2025-04-16 01:44:30] 4m38s       Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-n9drn
[2025-04-16 01:44:30] 3m23s       Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         (combined from similar events): Created pod: nginx-basic-76dd66bf4f-fp9sw
[2025-04-16 01:44:30] 4m37s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-tkpzb          Successfully assigned default/nginx-basic-76dd66bf4f-tkpzb to worker7
[2025-04-16 01:44:30] 4m37s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-pfkv6          Successfully assigned default/nginx-basic-76dd66bf4f-pfkv6 to worker7
[2025-04-16 01:44:30] 4m37s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-n9drn          Successfully assigned default/nginx-basic-76dd66bf4f-n9drn to worker7
[2025-04-16 01:44:30] 4m37s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-2jsvr          Successfully assigned default/nginx-basic-76dd66bf4f-2jsvr to worker7
[2025-04-16 01:44:30] 4m38s       Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 16 from 8
[2025-04-16 01:44:30] 4m37s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-n5mv9          Pulling image "nginx:latest"
[2025-04-16 01:44:30] 4m37s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-tkpzb          Pulling image "nginx:latest"
[2025-04-16 01:44:30] 4m37s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-2jsvr          Pulling image "nginx:latest"
[2025-04-16 01:44:30] 4m37s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-n9drn          Pulling image "nginx:latest"
[2025-04-16 01:44:30] 4m37s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-ph6q5          Pulling image "nginx:latest"
[2025-04-16 01:44:30] 4m37s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-pfkv6          Pulling image "nginx:latest"
[2025-04-16 01:44:30] 4m37s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-vmswv          Pulling image "nginx:latest"
[2025-04-16 01:44:30] 4m37s       Normal    Started                        pod/nginx-basic-76dd66bf4f-2jsvr          Started container nginx
[2025-04-16 01:44:30] 4m37s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-2jsvr          Successfully pulled image "nginx:latest" in 668ms (668ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:30] 4m37s       Normal    Created                        pod/nginx-basic-76dd66bf4f-2jsvr          Created container nginx
[2025-04-16 01:44:30] 4m37s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-b5hc5          Pulling image "nginx:latest"
[2025-04-16 01:44:30] 4m36s       Normal    Started                        pod/nginx-basic-76dd66bf4f-pfkv6          Started container nginx
[2025-04-16 01:44:30] 4m36s       Normal    Created                        pod/nginx-basic-76dd66bf4f-pfkv6          Created container nginx
[2025-04-16 01:44:30] 4m36s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-pfkv6          Successfully pulled image "nginx:latest" in 674ms (1.285s including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:30] 4m35s       Normal    Created                        pod/nginx-basic-76dd66bf4f-tkpzb          Created container nginx
[2025-04-16 01:44:30] 4m35s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-tkpzb          Successfully pulled image "nginx:latest" in 670ms (1.955s including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:30] 4m35s       Normal    Started                        pod/nginx-basic-76dd66bf4f-b5hc5          Started container nginx
[2025-04-16 01:44:30] 4m35s       Normal    Created                        pod/nginx-basic-76dd66bf4f-b5hc5          Created container nginx
[2025-04-16 01:44:30] 4m35s       Normal    Started                        pod/nginx-basic-76dd66bf4f-tkpzb          Started container nginx
[2025-04-16 01:44:30] 4m35s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-b5hc5          Successfully pulled image "nginx:latest" in 663ms (2.618s including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:30] 4m34s       Normal    Started                        pod/nginx-basic-76dd66bf4f-ph6q5          Started container nginx
[2025-04-16 01:44:30] 4m34s       Normal    Created                        pod/nginx-basic-76dd66bf4f-ph6q5          Created container nginx
[2025-04-16 01:44:30] 4m34s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-ph6q5          Successfully pulled image "nginx:latest" in 660ms (3.279s including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:30] 4m33s       Normal    Started                        pod/nginx-basic-76dd66bf4f-n5mv9          Started container nginx
[2025-04-16 01:44:30] 4m33s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-n5mv9          Successfully pulled image "nginx:latest" in 671ms (3.95s including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:30] 4m33s       Normal    Started                        pod/nginx-basic-76dd66bf4f-vmswv          Started container nginx
[2025-04-16 01:44:30] 4m33s       Normal    Created                        pod/nginx-basic-76dd66bf4f-vmswv          Created container nginx
[2025-04-16 01:44:30] 4m33s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-vmswv          Successfully pulled image "nginx:latest" in 682ms (4.607s including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:30] 4m33s       Normal    Created                        pod/nginx-basic-76dd66bf4f-n5mv9          Created container nginx
[2025-04-16 01:44:30] 4m32s       Normal    Started                        pod/nginx-basic-76dd66bf4f-n9drn          Started container nginx
[2025-04-16 01:44:30] 4m32s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-n9drn          Successfully pulled image "nginx:latest" in 682ms (5.153s including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:30] 4m32s       Normal    Created                        pod/nginx-basic-76dd66bf4f-n9drn          Created container nginx
[2025-04-16 01:44:30] 3m22s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-v7p48          Successfully assigned default/nginx-basic-76dd66bf4f-v7p48 to worker7
[2025-04-16 01:44:30] 3m22s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-rrphs          Successfully assigned default/nginx-basic-76dd66bf4f-rrphs to worker7
[2025-04-16 01:44:30] 3m22s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-wpg5w          Successfully assigned default/nginx-basic-76dd66bf4f-wpg5w to worker7
[2025-04-16 01:44:30] 3m22s       Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-fp9sw          Successfully assigned default/nginx-basic-76dd66bf4f-fp9sw to worker7
[2025-04-16 01:44:30] 3m23s       Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 20 from 16
[2025-04-16 01:44:30] 3m23s       Normal    SuccessfulRescale              horizontalpodautoscaler/nginx-basic-hpa   New size: 20; reason: cpu resource utilization (percentage of request) above target
[2025-04-16 01:44:30] 3m22s       Normal    Created                        pod/nginx-basic-76dd66bf4f-wpg5w          Created container nginx
[2025-04-16 01:44:30] 3m22s       Normal    Started                        pod/nginx-basic-76dd66bf4f-wpg5w          Started container nginx
[2025-04-16 01:44:30] 3m22s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-wpg5w          Successfully pulled image "nginx:latest" in 702ms (702ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:30] 3m22s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-rrphs          Pulling image "nginx:latest"
[2025-04-16 01:44:30] 3m22s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-wpg5w          Pulling image "nginx:latest"
[2025-04-16 01:44:30] 3m22s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-v7p48          Pulling image "nginx:latest"
[2025-04-16 01:44:30] 3m22s       Normal    Pulling                        pod/nginx-basic-76dd66bf4f-fp9sw          Pulling image "nginx:latest"
[2025-04-16 01:44:30] 3m21s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-v7p48          Successfully pulled image "nginx:latest" in 674ms (1.371s including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:30] 3m21s       Normal    Created                        pod/nginx-basic-76dd66bf4f-v7p48          Created container nginx
[2025-04-16 01:44:30] 3m21s       Normal    Started                        pod/nginx-basic-76dd66bf4f-v7p48          Started container nginx
[2025-04-16 01:44:30] 3m20s       Normal    Created                        pod/nginx-basic-76dd66bf4f-fp9sw          Created container nginx
[2025-04-16 01:44:30] 3m20s       Normal    Started                        pod/nginx-basic-76dd66bf4f-fp9sw          Started container nginx
[2025-04-16 01:44:30] 3m20s       Normal    Created                        pod/nginx-basic-76dd66bf4f-rrphs          Created container nginx
[2025-04-16 01:44:30] 3m20s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-fp9sw          Successfully pulled image "nginx:latest" in 676ms (2.709s including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:30] 3m20s       Normal    Started                        pod/nginx-basic-76dd66bf4f-rrphs          Started container nginx
[2025-04-16 01:44:30] 3m20s       Normal    Pulled                         pod/nginx-basic-76dd66bf4f-rrphs          Successfully pulled image "nginx:latest" in 669ms (2.035s including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:30] 101s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-rrphs          Stopping container nginx
[2025-04-16 01:44:30] 101s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-t45tz          Stopping container nginx
[2025-04-16 01:44:30] 101s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-vmswv          Stopping container nginx
[2025-04-16 01:44:30] 101s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-5zjv7          Stopping container nginx
[2025-04-16 01:44:30] 101s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-26n2d          Stopping container nginx
[2025-04-16 01:44:30] 101s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-tkpzb          Stopping container nginx
[2025-04-16 01:44:30] 101s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-zxfhz          Stopping container nginx
[2025-04-16 01:44:30] 101s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-ph6q5          Stopping container nginx
[2025-04-16 01:44:30] 101s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-v7p48          Stopping container nginx
[2025-04-16 01:44:30] 100s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-b5hc5          Stopping container nginx
[2025-04-16 01:44:30] 100s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-2jsvr          Stopping container nginx
[2025-04-16 01:44:30] 100s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-n9drn          Stopping container nginx
[2025-04-16 01:44:30] 100s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-qzkrg          Stopping container nginx
[2025-04-16 01:44:30] 100s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-fp9sw          Stopping container nginx
[2025-04-16 01:44:30] 100s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-zhx8v          Stopping container nginx
[2025-04-16 01:44:30] 100s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-jkjk9          Stopping container nginx
[2025-04-16 01:44:30] 100s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-n5mv9          Stopping container nginx
[2025-04-16 01:44:30] 100s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-pfkv6          Stopping container nginx
[2025-04-16 01:44:30] 100s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-txg25          Stopping container nginx
[2025-04-16 01:44:30] 100s        Normal    Killing                        pod/nginx-basic-76dd66bf4f-wpg5w          Stopping container nginx
[2025-04-16 01:44:30] 40s         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-8twmk
[2025-04-16 01:44:30] 40s         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-16 01:44:30] 40s         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-8twmk          Successfully assigned default/nginx-basic-76dd66bf4f-8twmk to worker7
[2025-04-16 01:44:30] 40s         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-8twmk          Pulling image "nginx:latest"
[2025-04-16 01:44:30] 39s         Normal    Created                        pod/nginx-basic-76dd66bf4f-8twmk          Created container nginx
[2025-04-16 01:44:30] 39s         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-8twmk          Successfully pulled image "nginx:latest" in 832ms (832ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:30] 39s         Normal    Started                        pod/nginx-basic-76dd66bf4f-8twmk          Started container nginx
[2025-04-16 01:44:30] 25s         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-16 01:44:30] 25s         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-16 01:44:40] 60m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-16 01:44:40] 60m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-wkthn
[2025-04-16 01:44:40] 60m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-wkthn          Successfully assigned default/nginx-basic-76dd66bf4f-wkthn to worker7
[2025-04-16 01:44:40] 60m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-wkthn          Pulling image "nginx:latest"
[2025-04-16 01:44:40] 60m         Normal    Started                        pod/nginx-basic-76dd66bf4f-wkthn          Started container nginx
[2025-04-16 01:44:40] 60m         Normal    Created                        pod/nginx-basic-76dd66bf4f-wkthn          Created container nginx
[2025-04-16 01:44:40] 60m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-wkthn          Successfully pulled image "nginx:latest" in 750ms (750ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:40] 59m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-16 01:44:40] 59m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-16 01:44:40] 54m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-wkthn          Stopping container nginx
[2025-04-16 01:44:40] 53m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-16 01:44:40] 53m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-gssx5
[2025-04-16 01:44:40] 53m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-gssx5          Pulling image "nginx:latest"
[2025-04-16 01:44:40] 53m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-gssx5          Successfully assigned default/nginx-basic-76dd66bf4f-gssx5 to worker7
[2025-04-16 01:44:40] 53m         Normal    Started                        pod/nginx-basic-76dd66bf4f-gssx5          Started container nginx
[2025-04-16 01:44:40] 53m         Normal    Created                        pod/nginx-basic-76dd66bf4f-gssx5          Created container nginx
[2025-04-16 01:44:40] 53m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-gssx5          Successfully pulled image "nginx:latest" in 695ms (695ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:40] 52m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-16 01:44:40] 52m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
[2025-04-16 01:44:40] 48m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-gssx5          Stopping container nginx
[2025-04-16 01:44:40] 47m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-lw7br          Successfully assigned default/nginx-basic-76dd66bf4f-lw7br to worker7
[2025-04-16 01:44:40] 47m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-lw7br
[2025-04-16 01:44:40] 47m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-lw7br          Pulling image "nginx:latest"
[2025-04-16 01:44:40] 47m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-16 01:44:40] 47m         Normal    Started                        pod/nginx-basic-76dd66bf4f-lw7br          Started container nginx
[2025-04-16 01:44:40] 47m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-lw7br          Successfully pulled image "nginx:latest" in 694ms (694ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:40] 47m         Normal    Created                        pod/nginx-basic-76dd66bf4f-lw7br          Created container nginx
[2025-04-16 01:44:40] 47m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-16 01:44:40] 47m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-16 01:44:40] 42m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-lw7br          Stopping container nginx
[2025-04-16 01:44:40] 41m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-16 01:44:40] 41m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-fcv26
[2025-04-16 01:44:40] 41m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-fcv26          Successfully assigned default/nginx-basic-76dd66bf4f-fcv26 to worker7
[2025-04-16 01:44:40] 41m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-fcv26          Successfully pulled image "nginx:latest" in 683ms (683ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:40] 41m         Normal    Started                        pod/nginx-basic-76dd66bf4f-fcv26          Started container nginx
[2025-04-16 01:44:40] 41m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-fcv26          Pulling image "nginx:latest"
[2025-04-16 01:44:40] 41m         Normal    Created                        pod/nginx-basic-76dd66bf4f-fcv26          Created container nginx
[2025-04-16 01:44:40] 41m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/nginx-basic-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-16 01:44:40] 41m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/nginx-basic-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
[2025-04-16 01:44:40] 33m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-q2hb7          Successfully assigned default/nginx-basic-76dd66bf4f-q2hb7 to worker7
[2025-04-16 01:44:40] 33m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 2 from 1
[2025-04-16 01:44:40] 33m         Normal    SuccessfulRescale              horizontalpodautoscaler/nginx-basic-hpa   New size: 2; reason: cpu resource utilization (percentage of request) above target
[2025-04-16 01:44:40] 33m         Normal    Pulling                        pod/nginx-basic-76dd66bf4f-q2hb7          Pulling image "nginx:latest"
[2025-04-16 01:44:40] 33m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-q2hb7
[2025-04-16 01:44:40] 33m         Normal    Created                        pod/nginx-basic-76dd66bf4f-q2hb7          Created container nginx
[2025-04-16 01:44:40] 33m         Normal    Started                        pod/nginx-basic-76dd66bf4f-q2hb7          Started container nginx
[2025-04-16 01:44:40] 33m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-q2hb7          Successfully pulled image "nginx:latest" in 704ms (704ms including waiting). Image size: 72207578 bytes.
[2025-04-16 01:44:40] 32m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-q2hb7          Stopping container nginx
[2025-04-16 01:44:40] 32m         Normal    Killing                        pod/nginx-basic-76dd66bf4f-fcv26          Stopping container nginx
[2025-04-16 01:44:40] 31m         Normal    ScalingReplicaSet              deployment/nginx-basic                    Scaled up replica set nginx-basic-76dd66bf4f to 1
[2025-04-16 01:44:40] 31m         Normal    Scheduled                      pod/nginx-basic-76dd66bf4f-cg8fr          Successfully assigned default/nginx-basic-76dd66bf4f-cg8fr to worker7
[2025-04-16 01:44:40] 31m         Normal    SuccessfulCreate               replicaset/nginx-basic-76dd66bf4f         Created pod: nginx-basic-76dd66bf4f-cg8fr
[2025-04-16 01:44:40] 31m         Normal    Pulled                         pod/nginx-basic-76dd66bf4f-cg8fr          Successfully pulled image "nginx:latest" in 697ms (697ms including waiting). Image size: 72207578 bytes.
